destination,key,heroSource,suspicion,httpStatus,width,height,cache,reasons,url
"Marseille, France",marseille|france,commons-category,0,200,6600,2695,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Calanques_view.jpg/1280px-Calanques_view.jpg"
"Nice, France",nice|france,wikidata-commons,0,200,2048,1536,hit,"","https://upload.wikimedia.org/wikipedia/commons/e/e7/Port_Of_Nice%2C_C%C3%B4te_d%27Azur.jpg"
"Monaco, Monaco",monaco|monaco,wikidata-commons,0,200,6869,3511,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/d/da/Panorama_von_Monaco-La_Turbie.jpg"
"Bordeaux, France",bordeaux|france,wikidata-commons,0,200,3456,2304,hit,"","https://upload.wikimedia.org/wikipedia/commons/1/18/138_-_Place_de_la_Bourse_et_le_miroir_d%27eau_-_Bordeaux.jpg"
"Toulouse, France",toulouse|france,wikidata-commons,0,200,1024,768,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/7/7f/Toulouse_-_View_on_Saint_Sernin.jpg"
"Lille, France",lille|france,wikidata-commons,0,200,2639,1799,hit,"","https://upload.wikimedia.org/wikipedia/commons/f/f8/Lille_vue_gd_place.JPG"
"Nantes, France",nantes|france,wikidata-commons,0,200,2048,1536,hit,"","https://upload.wikimedia.org/wikipedia/commons/a/a3/Marit%C3%A9.jpg"
"Tokyo",tokyo,none,0,,,,miss,"no-url",""
"Kyoto",kyoto,none,0,,,,miss,"no-url",""
"Osaka",osaka,none,0,,,,miss,"no-url",""
"Seoul",seoul,none,0,,,,miss,"no-url",""
"Bangkok",bangkok,none,0,,,,miss,"no-url",""
"Singapore",singapore,none,0,,,,miss,"no-url",""
"Bali, Indonesia",bali|indonesia,wikidata-commons,0,200,5184,3456,hit,"","https://upload.wikimedia.org/wikipedia/commons/8/8d/TanahLot_2014.JPG"
"Jakarta",jakarta,none,0,,,,miss,"no-url",""
"Beijing",beijing,none,0,,,,miss,"no-url",""
"Shanghai",shanghai,none,0,,,,miss,"no-url",""
"Guangzhou",guangzhou,none,0,,,,miss,"no-url",""
"New York",new york,none,0,,,,miss,"no-url",""
"Los Angeles",los angeles,none,0,,,,miss,"no-url",""
"San Francisco",san francisco,none,0,,,,miss,"no-url",""
